chapter_name,pdf,audios,videos,pdf_progress,audio_progress,video_progress,book_id,order_number,start_page,end_page
السيرة النبوية للمصلحين 5,chapters/السيرة النبوية للمصلحين 5.pdf,audios/السيرة النبوية للمصلحين 5.mp3,https://youtu.be/LwFaaL370ao?si=sZMdCi35SgrjxgkX,20,46,46,7,5,79,98
السيرة النبوية للمصلحين 6,chapters/السيرة النبوية للمصلحين 6.pdf,audios/السيرة النبوية للمصلحين 6.mp3,https://youtu.be/Vz30WUUlYmQ?si=lOmOHODkvk7kCN7v,17,34,34,7,6,99,115
السيرة النبوية للمصلحين 7,chapters/السيرة النبوية للمصلحين 7.pdf,audios/السيرة النبوية للمصلحين 7.mp3,https://youtu.be/D08i5HfNy4k?si=UMZejPEVRYUFz5ER,17,40,40,7,7,116,132
السيرة النبوية للمصلحين 8,chapters/السيرة النبوية للمصلحين 8.pdf,audios/السيرة النبوية للمصلحين 8.mp3,https://youtu.be/qeyWgxgUOP0?si=d_tRJ8uqmnnWg5eY,20,42,42,7,8,133,152
السيرة النبوية للمصلحين 9,chapters/السيرة النبوية للمصلحين 9.pdf,audios/السيرة النبوية للمصلحين 9.mp3,https://youtu.be/j-JG1_CM8Yc?si=bNOdqyxNES74FODZ,19,45,45,7,9,153,171
السيرة النبوية للمصلحين 10,chapters/السيرة النبوية للمصلحين 10.pdf,audios/السيرة النبوية للمصلحين 10.mp3,https://youtu.be/BYbysdwlikA?si=J76uHJXi03RtaFjU,18,43,43,7,10,172,189
السيرة النبوية للمصلحين 11,chapters/السيرة النبوية للمصلحين 11.pdf,audios/السيرة النبوية للمصلحين 11.mp3,https://youtu.be/_rsEnDA2nuw?si=EsOK4O-SV6kaXGID,18,36,36,7,11,190,207
السيرة النبوية للمصلحين 12,chapters/السيرة النبوية للمصلحين 12.pdf,audios/السيرة النبوية للمصلحين 12.mp3,https://youtu.be/EjMMOC1WyA8?si=cdhMKcfeBXvbGi2q,20,44,44,7,12,208,227
السيرة النبوية للمصلحين 13,chapters/السيرة النبوية للمصلحين 13.pdf,audios/السيرة النبوية للمصلحين 13.mp3,https://youtu.be/FQjrI_UmHDU?si=Geo8yMIxlV5WszwN,23,47,47,7,13,228,250
السيرة النبوية للمصلحين 14,chapters/السيرة النبوية للمصلحين 14.pdf,audios/السيرة النبوية للمصلحين 14.mp3,https://youtu.be/Ze7Pl1pjCuk?si=CGSKbcbDwZZvsJvq,21,45,45,7,14,251,271
السيرة النبوية للمصلحين 15,chapters/السيرة النبوية للمصلحين 15.pdf,audios/السيرة النبوية للمصلحين 15.mp3,https://youtu.be/sMvk9kE94uE?si=5mvTP6jbwrLJTT0m,19,44,44,7,15,272,290
